,ds,yhat,yhat_lower,yhat_upper,trend
11209,2024-03-15,419.93132207628867,362.20442462763367,482.4851076043515,417.66221431537036
11210,2024-03-18,420.04042074925997,359.465637982934,484.43520370024925,417.77735713336153
11211,2024-03-19,420.61719709786576,357.67761981736567,484.5304108128396,417.81573807269206
11212,2024-03-20,420.9349580557904,355.21237646010405,484.3229243097582,417.8541190120225
11213,2024-03-21,421.03047855269244,359.60008458515426,482.11966249374103,417.892499951353
11214,2024-03-22,421.2889152546648,356.10277712178794,484.0174580203554,417.93088089068345
11215,2024-03-25,421.1336423509758,355.0299623521945,485.8871732449305,418.0460237086747
11216,2024-03-26,421.5903608270963,356.88128522328253,481.03933820151,418.08440464800515
11217,2024-03-27,421.77763033372474,360.69346938252784,485.15121237655796,418.1227855873356
11218,2024-03-28,421.736035414928,355.23531543773237,490.6692075027184,418.1611665266661
11219,2024-03-29,421.8547214827896,358.84325765077216,483.4458531264775,418.19954746599643
11220,2024-04-01,421.3046077745532,361.0392742665111,487.76728022074764,418.3146902839878
11221,2024-04-02,421.650592730829,358.9688966429191,483.20946729924646,418.35307122331824
11222,2024-04-03,421.7432424935557,359.696893044179,488.1831629921883,418.3914521626487
11223,2024-04-04,421.6259316267236,359.48293416516793,483.91564586750536,418.42983310197906
11224,2024-04-05,421.69007766293953,358.51892279492756,482.1004838048348,418.4682140413096
11225,2024-04-08,421.1172465466532,358.25773598201664,488.5577752268808,418.583356859301
11226,2024-04-09,421.50407413397465,353.65786078192974,480.14273818156374,418.62173779863133
11227,2024-04-10,421.6608913962456,352.5785654530444,479.61390603664194,418.6601187379617
11228,2024-04-11,421.6296155115548,359.1414185592197,485.4916770311547,418.6984996772922
11229,2024-04-12,421.7996435915404,359.1128825620295,485.0523240199969,418.73688061662267
11230,2024-04-15,421.63623841336585,360.5121682996826,485.23310001946123,418.85202343461384
11231,2024-04-16,422.17922551437533,356.10865886672934,483.1948049273691,418.8904043739443
11232,2024-04-17,422.4960047027577,353.7673873558777,483.8156598477851,418.92878531327483
11233,2024-04-18,422.62472404572804,359.7365629129533,488.7305617035826,418.9671662526053
11234,2024-04-19,422.95105477886875,358.99736177675385,492.26588964746543,419.00554719193576
11235,2024-04-22,423.1997947215387,357.86250542352315,486.08844441083795,419.12069000992693
11236,2024-04-23,423.85119376908864,361.5544860861153,492.86982576752627,419.15907094925745
11237,2024-04-24,424.25787495559644,360.3193544633151,486.72737685846414,419.1974518885879
11238,2024-04-25,424.4562902818344,358.8111055293114,488.86166349004367,419.2358328279184
11239,2024-04-26,424.8309477313175,359.7006797733555,490.223848713126,419.27421376724874
11240,2024-04-29,425.0930842042714,360.6514391029547,486.37034313426733,419.3893565852402
11241,2024-04-30,425.7066679225107,365.26728299090223,492.41513561777265,419.42773752457055
11242,2024-05-01,426.0564413572341,361.2634822153652,488.2888311013405,419.466118463901
11243,2024-05-02,426.1807470006561,362.65771134803344,491.702720394984,419.50449940323136
11244,2024-05-03,426.4663416332435,354.4890105418207,487.7310783381845,419.54288034256183
11245,2024-05-06,426.39790849120806,361.9722345969971,490.22771178062663,419.6580231605533
11246,2024-05-07,426.889687100946,360.9032053241984,486.0103944232733,419.69640409988364
11247,2024-05-08,427.11668790088135,364.6803145791161,494.23787423443025,419.734785039214
11248,2024-05-09,427.12004314898354,367.5820274475125,489.1749666635831,419.77316597854445
11249,2024-05-10,427.2891217243322,358.0018988425903,491.4217177099189,419.811546917875
11250,2024-05-13,426.9199458932997,361.06517662463125,493.5291565189833,419.92668973586626
11251,2024-05-14,427.3335129538754,364.7077284982486,492.7849230238296,419.9650706751966
11252,2024-05-15,427.495278499639,362.2664889077632,493.6469678149534,420.00345161452714
11253,2024-05-16,427.4469629771102,364.545892405157,491.13166933514793,420.0418325538576
11254,2024-05-17,427.57813426594106,364.6561882924804,490.4499294411699,420.08021349318807
11255,2024-05-20,427.17440596207007,363.44429905658296,488.31420395737337,420.19535631117935
11256,2024-05-21,427.60014708222786,364.0960251170697,489.51517185538086,420.23373725050976
11257,2024-05-22,427.7839609836215,355.8756262900186,495.6185149160192,420.2721181898402
11258,2024-05-23,427.7661236473274,359.9524468495533,495.1952871553528,420.3104991291707
11259,2024-05-24,427.9346653718649,366.4076678974789,492.9988087314156,420.34888006850105
11260,2024-05-27,427.6688638694473,362.46581311997284,492.0212354292685,420.4640228864925
11261,2024-05-28,428.1443391264445,361.5666298512623,497.22266961895826,420.50240382582297
11262,2024-05-29,428.3776797061943,364.080962109045,490.71126483207104,420.5407847651533
11263,2024-05-30,428.40819417244245,364.8277417961666,492.7063169658097,420.57916570448367
11264,2024-05-31,428.623174318038,363.6841746669283,495.8913877777875,420.61754664381414
11265,2024-06-03,428.48150218192063,363.0228491650761,487.0961697500287,420.7326894618056
11266,2024-06-04,428.99326998078556,364.7733940948717,493.6641861559433,420.77107040113606
11267,2024-06-05,429.2609040552115,365.41929702643426,495.7425423227216,420.8094513404663
11268,2024-06-06,429.324314076773,366.25341961787,495.5095213347988,420.84783227979676
11269,2024-06-07,429.5715241376167,364.6032685942103,493.9762602152907,420.8862132191273
11270,2024-06-10,429.53086019244614,367.09496580798964,489.4781185948951,421.00135603711857
11271,2024-06-11,430.08048437069147,365.67046586101435,494.19198953980316,421.03973697644903
11272,2024-06-12,430.38925147789496,371.583812728144,498.2363769693994,421.0781179157794
11273,2024-06-13,430.49756454743476,371.6232988125213,498.42958824426455,421.1164988551099
11274,2024-06-14,430.79373628379636,363.05407499428924,494.65341690931297,421.1548797944404
11275,2024-06-17,430.92344948338,361.11744052954174,496.3019074084694,421.27002261243166
11276,2024-06-18,431.53601686733197,367.20364960011227,497.8335692226708,421.3084035517622
11277,2024-06-19,431.9092387733246,366.98098722533376,498.20799697486206,421.34678449109254
11278,2024-06-20,432.0821580519065,367.5122938703987,501.1008794434832,421.385165430423
11279,2024-06-21,432.4414735525964,366.8152001437045,499.4937310628944,421.42354636975335
11280,2024-06-24,432.732650990976,367.6950878745073,492.97777022432246,421.5386891877448
11281,2024-06-25,433.3826290769182,367.1020543973593,504.3398496122202,421.5770701270753
11282,2024-06-26,433.7813606379606,366.4847575926769,498.30549763975966,421.6154510664056
11283,2024-06-27,433.96570910335834,359.8550716250324,499.2614443271394,421.653832005736
11284,2024-06-28,434.32030924927824,366.15684230406725,500.11678783859463,421.69221294506644
11285,2024-07-01,434.48288547577414,368.5298558572337,497.7120782161754,421.8073557630579
11286,2024-07-02,435.0474055921575,366.95644035772034,503.9761587443354,421.84573670238836
11287,2024-07-03,435.33805076284943,367.84607845263326,500.33991193121096,421.8841176417186
11288,2024-07-04,435.3914991770576,364.5439971366359,500.41052862091976,421.92249858104907
11289,2024-07-05,435.59264717231247,367.0255402616658,501.09696466802757,421.96087952037954
11290,2024-07-08,435.16904561863674,372.19790203080595,497.97239656201754,422.0760223383709
11291,2024-07-09,435.5016385509947,373.59107302023136,505.1242981891576,422.11440327770134
11292,2024-07-10,435.5458351809224,372.4869343465407,501.7669858003541,422.1527842170317
11293,2024-07-11,435.34111023992597,368.4023521804953,501.025422617431,422.1911651563622
11294,2024-07-12,435.27545353636793,362.8530457992473,497.7930696174864,422.2295460956927
11295,2024-07-15,434.03373942044385,368.0698191440858,501.3348800630434,422.34468891368397
11296,2024-07-16,434.09966383966474,367.36529105608975,501.2870230186158,422.38306985301443
11297,2024-07-17,433.8862110414399,369.93922159877906,501.05595975641285,422.42145079234496
11298,2024-07-18,433.4363245936927,368.8018403642987,499.6146478993492,422.4598317316753
11299,2024-07-19,433.14127778959534,364.26439562154906,502.0490532590209,422.49821267100566
11300,2024-07-22,431.33478553996736,364.38557035417006,497.6071011863079,422.6133554889971
11301,2024-07-23,431.26144919010824,362.2820837807524,495.12937608257795,422.6517364283276
11302,2024-07-24,430.9361679724821,362.14049622652567,507.08607077726845,422.69011736765805
11303,2024-07-25,430.40298754280013,359.0306533704449,499.18569338702036,422.7284983069883
11304,2024-07-26,430.05382597550044,367.7965475041484,499.6737585426583,422.76687924631875
11305,2024-07-29,428.2597331495322,360.77506727726706,495.18138515883925,422.8820220643102
11306,2024-07-30,428.24652443925385,359.5938297959393,496.3272999687483,422.9204030036407
11307,2024-07-31,428.0072684955296,358.63638634523545,495.7883579133135,422.958783942971
11308,2024-08-01,427.58424658030754,358.5750802692692,498.4722396922692,422.9971648823014
11309,2024-08-02,427.36733883568246,364.0302996072743,497.26871041688565,423.03554582163184
11310,2024-08-05,426.07914771041834,357.27378974797546,497.6601851594381,423.1506886396232
11311,2024-08-06,426.2624812748082,361.311318125139,496.0944936227252,423.18906957895365
11312,2024-08-07,426.229327576274,358.0396856612417,492.7063883348009,423.2274505182841
11313,2024-08-08,426.0193312531281,362.4183676001983,491.9586016812421,423.26583145761447
11314,2024-08-09,426.0197906938241,353.574553894157,493.99082828248834,423.304212396945
