,Date,Price,Open,High,Low,Vol.,Change %
6511,1998-01-30,337.25,338.75,340,336,8.88K,-0.44%
6512,1998-01-29,338.75,340.75,342.5,338.25,8.53K,-0.73%
6513,1998-01-28,341.25,340.25,344,339.5,9.58K,0.00%
6514,1998-01-27,341.25,341.5,348,339.5,22.47K,-0.15%
6515,1998-01-26,341.75,334.5,343,333.5,13.86K,2.24%
6516,1998-01-23,334.25,331.25,337.5,331,11.97K,0.98%
6517,1998-01-22,331,330,332,328,7.18K,0.30%
6518,1998-01-21,330,331,333,329.25,7.06K,-0.60%
6519,1998-01-20,332,335.5,336,329.5,7.96K,-0.67%
6520,1998-01-16,334.25,333.75,337.5,332,8.91K,0.15%
6521,1998-01-15,333.75,329.25,334.5,325,14.17K,1.29%
6522,1998-01-14,329.5,334,337.5,328,15.03K,-1.35%
6523,1998-01-13,334,321.75,341.75,321.75,32.25K,3.81%
6524,1998-01-12,321.75,321,324,319.25,10.14K,0.23%
6525,1998-01-09,321,320.5,322.5,319.5,11.58K,0.16%
6526,1998-01-08,320.5,329.5,329.5,320,13.25K,-2.58%
6527,1998-01-07,329,324.75,329.5,322.5,10.21K,1.39%
6528,1998-01-06,324.5,331,331.5,324,11.24K,-1.96%
6529,1998-01-05,331,330.75,334,327,8.02K,0.08%
6530,1998-01-02,330.75,327,331.5,325,8.16K,-1.93%
6531,1997-12-31,325.75,327.75,329.5,325.5,5.29K,-0.61%
6532,1997-12-30,327.75,333.75,333.75,327.5,10.55K,-1.80%
6533,1997-12-29,333.75,339,340.5,333.5,6.40K,-1.18%
6534,1997-12-26,337.75,337.5,339.5,336.5,1.82K,0.15%
6535,1997-12-24,337.25,335,340.25,334.5,4.41K,0.45%
6536,1997-12-23,335.75,334,336.5,332.5,4.09K,0.83%
6537,1997-12-22,333,334,338,332,7.84K,3.58%
6538,1997-12-19,321.5,322,322.5,320,0.11K,0.39%
6539,1997-12-18,320.25,330,330,320.25,0.06K,-3.68%
6540,1997-12-17,332.5,331.5,333,331.25,0.03K,0.30%
6541,1997-12-16,331.5,332,332.5,330.5,0.03K,0.76%
6542,1997-12-15,329,330,331.5,327,0.04K,-0.53%
6543,1997-12-12,330.75,340,340,330.75,0.16K,-1.85%
6544,1997-12-11,337,343.5,343.5,337,0.16K,-2.18%
6545,1997-12-10,344.5,345.5,345.5,342.75,0.45K,0.00%
6546,1997-12-09,344.5,348,349.5,344.5,1.33K,-0.65%
6547,1997-12-08,346.75,346,347.5,345.5,1.25K,0.80%
6548,1997-12-05,344,342,345.5,339,2.38K,1.10%
6549,1997-12-04,340.25,339,341,338.75,3.54K,0.44%
6550,1997-12-03,338.75,339.75,343,338,3.42K,-0.73%
6551,1997-12-02,341.25,345,347,340.5,4.10K,-0.87%
6552,1997-12-01,344.25,341.75,348,341,6.07K,0.73%
6553,1997-11-28,341.75,339.5,342,338,6.10K,0.74%
6554,1997-11-26,339.25,335,342,334,16.55K,1.27%
6555,1997-11-25,335,340.5,340.5,334,14.21K,-1.54%
6556,1997-11-24,340.25,342.5,345,339,8.11K,-0.87%
6557,1997-11-21,343.25,338.5,344,338.5,5.91K,1.10%
6558,1997-11-20,339.5,339.5,342,339,8.35K,-0.22%
6559,1997-11-19,340.25,345.5,345.75,340,9.27K,-1.59%
6560,1997-11-18,345.75,344.5,348,343.5,10.20K,0.07%
6561,1997-11-17,345.5,340,346.75,339,10.58K,1.62%
6562,1997-11-14,340,341.25,342.5,339.5,11.95K,-0.44%
6563,1997-11-13,341.5,345,346.5,341,15.78K,-0.94%
6564,1997-11-12,344.75,349.75,350.5,344.5,14.29K,-1.36%
6565,1997-11-11,349.5,350,353.5,349,10.88K,-0.14%
6566,1997-11-10,350,357,357,347,22.09K,-2.23%
6567,1997-11-07,358,359,359.5,355.25,10.07K,0.00%
6568,1997-11-06,358,355.5,358.5,352,13.04K,0.63%
6569,1997-11-05,355.75,359,360,355,10.33K,-0.97%
6570,1997-11-04,359.25,363,364.5,359,8.40K,-1.10%
6571,1997-11-03,363.25,360.5,364.5,358.5,8.86K,6.29%
6572,1997-10-31,360.5,359.5,362.5,358.25,6.65K,0.21%
6573,1997-10-30,359.75,358,361.5,355,11.56K,0.28%
6574,1997-10-29,358.75,361.25,365,358.5,7.02K,-0.62%
6575,1997-10-28,361,359,361.5,355.5,14.13K,-0.14%
6576,1997-10-27,361.5,370,372.75,360,15.41K,-2.03%
6577,1997-10-24,369,366.5,371.5,366,9.19K,0.61%
6578,1997-10-23,366.75,373,373.5,366.5,10.06K,-1.94%
6579,1997-10-22,374,376,379.5,371.5,15.47K,-0.53%
6580,1997-10-21,376,371,377,369.5,16.98K,1.48%
6581,1997-10-20,370.5,362.5,371,362,14.87K,2.00%
6582,1997-10-17,363.25,365,366,362.5,8.49K,-0.55%
6583,1997-10-16,365.25,369.75,372.5,365,9.84K,-1.22%
6584,1997-10-15,369.75,365,373,363,10.58K,0.89%
6585,1997-10-14,366.5,370.5,371,365,10.15K,-1.28%
6586,1997-10-13,371.25,366,373.5,364.5,11.34K,1.64%
6587,1997-10-10,365.25,368.75,374,364,16.90K,-0.95%
6588,1997-10-09,368.75,362.75,372,362,16.43K,1.65%
6589,1997-10-08,362.75,366,368,361.5,13.43K,-0.82%
6590,1997-10-07,365.75,355,367.5,354,25.24K,2.96%
6591,1997-10-06,355.25,358,359.5,353,8.83K,-0.70%
6592,1997-10-03,357.75,355,360,354,12.75K,0.85%
6593,1997-10-02,354.75,351,357,348.5,15.34K,1.14%
6594,1997-10-01,350.75,354.5,355.75,350.5,12.36K,-0.99%
6595,1997-09-30,354.25,359,361,354,14.63K,-1.32%
6596,1997-09-29,359,356,360,354.5,12.28K,0.49%
6597,1997-09-26,357.25,365.75,365.75,357,20.45K,-2.32%
6598,1997-09-25,365.75,365.75,366.5,363,7.30K,0.14%
6599,1997-09-24,365.25,367,369.5,362.5,11.08K,-0.48%
6600,1997-09-23,367,364,367.5,363.5,7.86K,0.75%
6601,1997-09-22,364.25,368,368.5,362,10.58K,3.19%
6602,1997-09-19,353,354,357,353,0.08K,-0.28%
6603,1997-09-18,354,360,366,353,0.05K,-1.94%
6604,1997-09-17,361,355,361,354,0.28K,0.84%
6605,1997-09-16,358,358.5,359,356,0.12K,0.56%
6606,1997-09-15,356,358.5,359,352.5,0.35K,-0.70%
6607,1997-09-12,358.5,364,364,357,0.40K,-1.51%
6608,1997-09-11,364,364,366.5,362,1.54K,-0.68%
6609,1997-09-10,366.5,368.5,369.5,365.5,1.62K,-0.41%
6610,1997-09-09,368,365,369.5,363.5,2.10K,0.82%
6611,1997-09-08,365,370,370,363,2.63K,-1.95%
6612,1997-09-05,372.25,369.5,376,369,3.09K,0.13%
6613,1997-09-04,371.75,372,376,370.5,3.36K,-0.80%
6614,1997-09-03,374.75,381,384,373.5,4.76K,-0.79%
