,Price US Soybean Meal,Volume US Soybean Meal,Price Feeder Cattle,Volume Feeder Cattle,Price Live Cattle,Volume Live Cattle,Price US Corn,Volume US Corn,Price US Soybean Oil,Volume US Soybean Oil,Price US Soybeans,Volume US Soybeans,Price US Wheat,Volume US Wheat,lag1,lag2,lag3
18/01/1990,-0.99975371,-0.856072715,-0.766939063,-0.744045551,-0.622740799,0.144123221,-0.769669231,-0.885637848,-0.947040098,-0.605442674,-0.95061671,0,-0.433951644,0,0,0,0
19/01/1990,-1.027819432,-0.83939492,-0.765047123,-0.865746545,-0.603848966,-0.059875526,-0.772943056,-0.895500395,-0.9592762,-0.500118023,-0.958862649,0,-0.465128256,0,0,0,0
22/01/1990,-1.032831168,-0.89203421,-0.754404961,-0.807793691,-0.607283845,-0.319894655,-0.781127618,-0.896768437,-0.964314594,-0.479992294,-0.96935748,0,-0.462417247,0,0,0,0
23/01/1990,-0.983716155,-0.663756891,-0.751567051,-0.830974832,-0.627893117,0.110299594,-0.779490705,-0.916352638,-0.931205144,-0.617518112,-0.93112631,0,-0.461061742,0,0,0,0
24/01/1990,-0.990732585,-0.493330673,-0.749675111,-0.819384261,-0.626175677,-0.157118453,-0.784401443,-0.903108646,-0.935523768,-0.631606123,-0.934874464,0,-0.467839266,0,0,0,0
25/01/1990,-1.008774835,-0.532419255,-0.749675111,-0.819384261,-0.598696648,0.292101587,-0.792586005,-0.891555377,-0.946320328,-0.621543258,-0.958113018,0,-0.500371384,0,0,0,0
26/01/1990,-1.013786571,-0.677307599,-0.7752163,-0.500643564,-0.606596869,-0.041906725,-0.799133655,-0.878029598,-0.93768308,-0.673199297,-0.957363388,0,-0.523414967,0,0,0,0
29/01/1990,-1.005767793,-0.582973821,-0.778763688,-0.801998405,-0.605566405,-0.484784835,-0.78931218,-0.826744353,-0.926166749,-0.651731852,-0.942370772,0,-0.536970016,0,0,0,0
30/01/1990,-1.026817084,-0.52043209,-0.778763688,-0.715069124,-0.583239694,-0.362174188,-0.797496743,-0.885778742,-0.934803997,-0.634289553,-0.957363388,0,-0.55188057,0,0,0,0
31/01/1990,-1.023810043,-0.604863427,-0.796500625,-0.419509569,-0.603848966,-0.499582671,-0.799133655,-0.890710015,-0.930485373,-0.64099813,-0.94986708,0,-0.553236075,0,0,0,0
1/02/1990,-1.028821779,-0.611638781,-0.7941357,-0.599163416,-0.615871041,-0.574628843,-0.80240748,-0.895218608,-0.92688652,-0.559824354,-0.953615234,0,-0.555947085,0,0,0,0
2/02/1990,-1.038845251,-0.630922482,-0.783966523,-0.709273839,-0.596292233,-0.557717029,-0.80895513,-0.874366366,-0.926166749,-0.610138678,-0.952115972,0,-0.535614511,0,0,0,0
5/02/1990,-1.040849945,-0.674180513,-0.781128613,-0.715069124,-0.596979209,-0.640162119,-0.813865868,-0.867603477,-0.939122621,-0.593367237,-0.958113018,0,-0.511215423,0,0,0,0
6/02/1990,-1.028821779,-0.648121458,-0.792953237,-0.547005847,-0.603848966,-0.589426679,-0.80240748,-0.868730625,-0.939122621,-0.627580977,-0.944619664,0,-0.515281938,0,0,0,0
7/02/1990,-1.014788918,-0.555872404,-0.795791147,-0.564391704,-0.591139915,-0.695125512,-0.792586005,-0.87253475,-0.928326061,-0.611480393,-0.929627048,0,-0.513926433,0,0,0,0
8/02/1990,-1.03182882,-0.64447319,-0.79886555,-0.668706841,-0.596979209,-0.685612617,-0.794222918,-0.879015853,-0.924727208,-0.565862073,-0.938622618,0,-0.516637443,0,0,0,0
9/02/1990,-1.030826473,-0.712747914,-0.814237562,-0.048611303,-0.608314308,-0.690897559,-0.790949093,-0.875775301,-0.921848125,-0.543052913,-0.932625571,0,-0.493593859,0,0,0,0
12/02/1990,-1.037842904,-0.649685001,-0.812345622,-0.199288723,-0.592857355,-0.71520829,-0.772943056,-0.803215134,-0.9052934,-0.526281472,-0.937123356,0,-0.475972296,0,0,0,0
